source_index,image_path,clean_hypothesis,adversarial_hypothesis,attack_mode,anchor_token_or_rule,expected_label
17848,./images_folder/flickr30k-images/16158623.jpg,a man is wearing a vray shirt.,a man is not wearing a vray shirt.,negation,is,contradiction
12988,./images_folder/flickr30k-images/1872000955.jpg,People are standing near rocks.,People are not standing near rocks.,negation,are,contradiction
7740,./images_folder/flickr30k-images/292198220.jpg,a girl inside,a boy inside,object_substitution,girl,contradiction
5256,./images_folder/flickr30k-images/3373544964.jpg,a boy is standing,a boy is not standing,negation,is,contradiction
14052,./images_folder/flickr30k-images/4977528001.jpg,There is a boy.,"In this image, there is a boy.",paraphrase,prefix,entailment
16273,./images_folder/flickr30k-images/2504056718.jpg,The black and white dog leap,It is not true that The black and white dog leap,negation,prefix_negation,contradiction
17140,./images_folder/flickr30k-images/4118638516.jpg,A middle eastern guy is selling stuff.,A middle eastern guy is not selling stuff.,negation,is,contradiction
238,./images_folder/flickr30k-images/1246863003.jpg,Three chefs work together.,It is not true that Three chefs work together.,negation,prefix_negation,contradiction
1874,./images_folder/flickr30k-images/2123838998.jpg,There is a band dressed as Santa Claus playing on the street.,There is not a band dressed as Santa Claus playing on the street.,negation,is,contradiction
13251,./images_folder/flickr30k-images/83001714.jpg,People playing a game outside.,"In this image, people playing a game outside.",paraphrase,prefix,entailment
6277,./images_folder/flickr30k-images/6870585516.jpg,Men and women are on the escalators.,Men and women are not on the escalators.,negation,are,contradiction
8411,./images_folder/flickr30k-images/4716333601.jpg,two pedestrians walk on a cobblestone road past a cafe,It is not true that two pedestrians walk on a cobblestone road past a cafe,negation,prefix_negation,contradiction
1634,./images_folder/flickr30k-images/410422753.jpg,A dog is covered in snow,A cat is covered in snow,object_substitution,dog,contradiction
9697,./images_folder/flickr30k-images/4912108775.jpg,A man is wearing a black shirt,A man is not wearing a black shirt,negation,is,contradiction
9230,./images_folder/flickr30k-images/1775223211.jpg,Two women are operating equipment.,"In this image, two women are operating equipment.",paraphrase,prefix,entailment
791,./images_folder/flickr30k-images/2723024306.jpg,An adult is working with sand.,An adult is not working with sand.,negation,is,contradiction
1319,./images_folder/flickr30k-images/553918837.jpg,A girl slides down the playground slide.,It is not true that A girl slides down the playground slide.,negation,prefix_negation,contradiction
14369,./images_folder/flickr30k-images/582788646.jpg,A kid is swimming in the water.,A kid is not swimming in the water.,negation,is,contradiction
500,./images_folder/flickr30k-images/1313961775.jpg,The girl is above the water.,The girl is not above the water.,negation,is,contradiction
252,./images_folder/flickr30k-images/1246863003.jpg,Food is being prepared in a kitchen by three men,"In this image, food is being prepared in a kitchen by three men",paraphrase,prefix,entailment
16160,./images_folder/flickr30k-images/3316725440.jpg,A person is riding a bike,A person is not riding a bike,negation,is,contradiction
14439,./images_folder/flickr30k-images/345284642.jpg,The brown dog is outdoors.,The white dog is outdoors.,color_swap,brown,contradiction
4453,./images_folder/flickr30k-images/135444196.jpg,A women is outside.,A women is not outside.,negation,is,contradiction
9105,./images_folder/flickr30k-images/97162852.jpg,The woman is outdoors.,The woman is not outdoors.,negation,is,contradiction
7143,./images_folder/flickr30k-images/6869365418.jpg,Children playing.,"In this image, children playing.",paraphrase,prefix,entailment
17137,./images_folder/flickr30k-images/4118638516.jpg,a man selling things,It is not true that a man selling things,negation,prefix_negation,contradiction
12514,./images_folder/flickr30k-images/2580707208.jpg,A man with long hair makes a funny face while wearing two hats,It is not true that A man with long hair makes a funny face while wearing two hats,negation,prefix_negation,contradiction
12803,./images_folder/flickr30k-images/252846811.jpg,Two dogs are interacting outside.,Two dogs are not interacting outside.,negation,are,contradiction
7699,./images_folder/flickr30k-images/2511798599.jpg,People are wearing blue,People are not wearing blue,negation,are,contradiction
10276,./images_folder/flickr30k-images/2641049916.jpg,A kid's face is painted,"In this image, a kid's face is painted",paraphrase,prefix,entailment
16775,./images_folder/flickr30k-images/536537638.jpg,Several Asian women put clothes on their heads.,It is not true that Several Asian women put clothes on their heads.,negation,prefix_negation,contradiction
2426,./images_folder/flickr30k-images/1303727066.jpg,A man is wearing a shirt.,A man is not wearing a shirt.,negation,is,contradiction
14987,./images_folder/flickr30k-images/2507831979.jpg, A woman enjoying coffee., A man enjoying coffee.,object_substitution,woman,contradiction
14816,./images_folder/flickr30k-images/2797188545.jpg,Two people are outside,Two people are not outside,negation,are,contradiction
2261,./images_folder/flickr30k-images/7235990180.jpg,Children are playing.,"In this image, children are playing.",paraphrase,prefix,entailment
3483,./images_folder/flickr30k-images/3120921482.jpg,A kid is enjoying playing guitar.,A kid is not enjoying playing guitar.,negation,is,contradiction
5203,./images_folder/flickr30k-images/4676792744.jpg,There are a couple people walking down a street.,There are not a couple people walking down a street.,negation,are,contradiction
15733,./images_folder/flickr30k-images/697582336.jpg,The dogs are running.,The dogs are not running.,negation,are,contradiction
1187,./images_folder/flickr30k-images/3584603849.jpg,The plane is in the sky,The plane is not in the sky,negation,is,contradiction
13875,./images_folder/flickr30k-images/288038357.jpg,Man working on a roof,"In this image, man working on a roof",paraphrase,prefix,entailment
